name,type
Jake,human
Rachel,human
Tobias,human
Cassie,human
Marco,human
Golden Retriever,animal
Green Anole Lizard,animal
Siberian Tiger,animal
Peregrine Falcon,animal
Flea,animal
Wolf,animal
Trout,animal
Bottlenose Dolphin,animal
Seagull,animal
American Lobster,animal
Black Garden Ant,animal
American Cockroach,animal
Housefly,animal
Termite,animal
Great Horned Owl,animal
Skunk,animal
Brown Bat,animal
Spider Monkey ,animal
Jaguar,animal
Racehorse,animal
Parrot (white),animal
Hammerhead Shark,animal
Rhinoceros,animal
Mole,animal
Mosquito,animal
Leeran,animal
Tyrannosaurus Rex ,animal
Dragonfly,animal
Human (adult male),animal
Giant Anteater,animal
Baby Ringed Seal,animal
Polar Bear (Nanook),animal
Howler,animal
Giant Squid,animal
Chimpanzee,animal
Eel,animal
War Horse ,animal
Hork-Bajir,animal
Squirrel,animal
Cockatiel,animal
Orca ,animal
North American Beaver,animal
Anaconda,animal
African Elephant,animal
Bald Eagle,animal
Shrew,animal
Tomcat,animal
Grizzly Bear,animal
White Rat,animal
Crocodile,animal
Parrot,animal
Deinonychus,animal
Polar Bear,animal
Sperm Whale,animal
Starfish,animal
Orca,animal
Cheetah,animal
Honeybee,animal
Human,animal
German Shepherd,animal
Silverback Gorilla,animal
Osprey,animal
Mouse,animal
Irish Setter,animal
Wolf Spider,animal
Llama,animal
Parrot (green),animal
Tyrannosaurus Rex,animal
Cobra (Spawn),animal
Mountain Goat,animal
Poodle,animal
Mallard Drake,animal
Eagle,animal
